id;type;source_name;proposed_canonical;reason;decision;override_canonical;notes;;;;;
Incline_Cable_Flye;alias;Incline Cable Flye;Incline DB Fly;equipment_conflict;reject;;;;;;;
Incline_Dumbbell_Flyes;alias;Incline Dumbbell Flyes;Incline DB Fly;category_conflict;accept;;;;;;;
Internal_Rotation_with_Band;alias;Internal Rotation with Band;Band Internal Rotation;category_conflict;accept;;;;;;;
Lateral_Raise_-_With_Bands;alias;Lateral Raise - With Bands;Lateral Raise;equipment_conflict;reject;;;;;;;
Lying_Dumbbell_Tricep_Extension;alias;Lying Dumbbell Tricep Extension;Skull Crusher;equipment_conflict;reject;;;;;;;
Lying_Machine_Squat;alias;Lying Machine Squat;Squat;equipment_conflict;reject;;;;;;;
Lying_T-Bar_Row;alias;Lying T-Bar Row;T-Bar Row;equipment_conflict;reject;;;;;;;
Machine_Bench_Press;alias;Machine Bench Press;Bench Press;equipment_conflict;reject;;;;;;;
Machine_Bicep_Curl;alias;Machine Bicep Curl;Barbell Curl;equipment_conflict;reject;;;;;;;
One-Arm_Kettlebell_Push_Press;alias;One-Arm Kettlebell Push Press;Push Press;kettlebell_no_wodl_equipment;reject;;;;;;;
One-Arm_Kettlebell_Row;alias;One-Arm Kettlebell Row;Dumbbell Row;kettlebell_no_wodl_equipment;reject;;;;;;;
One_Arm_Chin-Up;alias;One Arm Chin-Up;Chin-up;equipment_conflict;reject;;;;;;;
One_Arm_Dumbbell_Preacher_Curl;alias;One Arm Dumbbell Preacher Curl;Preacher Curl;equipment_conflict;reject;;;;;;;
Pin_Presses;alias;Pin Presses;Leg Press;equipment_conflict;reject;;;;;;;
Reverse_Cable_Curl;alias;Reverse Cable Curl;Reverse Curl;equipment_conflict;reject;;;;;;;
Reverse_Hyperextension;alias;Reverse Hyperextension;Back Extension;equipment_conflict;reject;;;;;;;
Reverse_Plate_Curls;alias;Reverse Plate Curls;Reverse Curl;equipment_conflict;reject;;;;;;;
Rocking_Standing_Calf_Raise;alias;Rocking Standing Calf Raise;Calf Raise;equipment_conflict;reject;;;;;;;
Side_Leg_Raises;alias;Side Leg Raises;Side-Lying Hip Abduction;category_conflict;accept;;;;;;;
Single_Leg_Glute_Bridge;alias;Single Leg Glute Bridge;Glute Bridge;category_conflict;reject;;;;;;;
Sled_Overhead_Triceps_Extension;alias;Sled Overhead Triceps Extension;Overhead Tricep Extension;equipment_conflict;reject;;;;;;;
